ano,mes,estado,casos_Previstos,timestamp
2024,Abril,AC,616,2025-07-24 17:55:54.935938
2024,Agosto,AC,1837,2025-07-24 17:55:54.935938
2024,Dezembro,AC,1901,2025-07-24 17:55:54.935938
2024,Fevereiro,AC,1211,2025-07-24 17:55:54.935938
2024,Janeiro,AC,1503,2025-07-24 17:55:54.935938
2024,Julho,AC,4128,2025-07-24 17:55:54.935938
2024,Junho,AC,4535,2025-07-24 17:55:54.935938
2024,Maio,AC,2212,2025-07-24 17:55:54.935938
2024,Marco,AC,513,2025-07-24 17:55:54.935938
2024,Novembro,AC,1814,2025-07-24 17:55:54.935938
2024,Outubro,AC,2010,2025-07-24 17:55:54.935938
2024,Setembro,AC,4528,2025-07-24 17:55:54.935938
2024,Abril,AL,588,2025-07-24 17:55:54.935938
2024,Agosto,AL,1657,2025-07-24 17:55:54.935938
2024,Dezembro,AL,1721,2025-07-24 17:55:54.935938
2024,Fevereiro,AL,1030,2025-07-24 17:55:54.935938
2024,Janeiro,AL,1323,2025-07-24 17:55:54.935938
2024,Julho,AL,3837,2025-07-24 17:55:54.935938
2024,Junho,AL,4240,2025-07-24 17:55:54.935938
2024,Maio,AL,1977,2025-07-24 17:55:54.935938
2024,Marco,AL,485,2025-07-24 17:55:54.935938
2024,Novembro,AL,1636,2025-07-24 17:55:54.935938
2024,Outubro,AL,1834,2025-07-24 17:55:54.935938
2024,Setembro,AL,4226,2025-07-24 17:55:54.935938
2024,Abril,AM,480,2025-07-24 17:55:54.935938
2024,Agosto,AM,1247,2025-07-24 17:55:54.935938
2024,Dezembro,AM,1311,2025-07-24 17:55:54.935938
2024,Fevereiro,AM,715,2025-07-24 17:55:54.935938
2024,Janeiro,AM,939,2025-07-24 17:55:54.935938
2024,Julho,AM,3013,2025-07-24 17:55:54.935938
2024,Junho,AM,3424,2025-07-24 17:55:54.935938
2024,Maio,AM,1567,2025-07-24 17:55:54.935938
2024,Marco,AM,381,2025-07-24 17:55:54.935938
2024,Novembro,AM,1225,2025-07-24 17:55:54.935938
2024,Outubro,AM,1422,2025-07-24 17:55:54.935938
2024,Setembro,AM,3420,2025-07-24 17:55:54.935938
2024,Abril,AP,501,2025-07-24 17:55:54.935938
2024,Agosto,AP,1362,2025-07-24 17:55:54.935938
2024,Dezembro,AP,1427,2025-07-24 17:55:54.935938
2024,Fevereiro,AP,796,2025-07-24 17:55:54.935938
2024,Janeiro,AP,1024,2025-07-24 17:55:54.935938
2024,Julho,AP,3179,2025-07-24 17:55:54.935938
2024,Junho,AP,3589,2025-07-24 17:55:54.935938
2024,Maio,AP,1684,2025-07-24 17:55:54.935938
2024,Marco,AP,398,2025-07-24 17:55:54.935938
2024,Novembro,AP,1338,2025-07-24 17:55:54.935938
2024,Outubro,AP,1538,2025-07-24 17:55:54.935938
2024,Setembro,AP,3585,2025-07-24 17:55:54.935938
2024,Abril,BA,3768,2025-07-24 17:55:54.935938
2024,Agosto,BA,6843,2025-07-24 17:55:54.935938
2024,Dezembro,BA,6956,2025-07-24 17:55:54.935938
2024,Fevereiro,BA,5533,2025-07-24 17:55:54.935938
2024,Janeiro,BA,6173,2025-07-24 17:55:54.935938
2024,Julho,BA,9422,2025-07-24 17:55:54.935938
2024,Junho,BA,9820,2025-07-24 17:55:54.935938
2024,Maio,BA,7509,2025-07-24 17:55:54.935938
2024,Marco,BA,2964,2025-07-24 17:55:54.935938
2024,Novembro,BA,6826,2025-07-24 17:55:54.935938
2024,Outubro,BA,7187,2025-07-24 17:55:54.935938
2024,Setembro,BA,9781,2025-07-24 17:55:54.935938
2024,Abril,CE,2236,2025-07-24 17:55:54.935938
2024,Agosto,CE,5231,2025-07-24 17:55:54.935938
2024,Dezembro,CE,5345,2025-07-24 17:55:54.935938
2024,Fevereiro,CE,3918,2025-07-24 17:55:54.935938
2024,Janeiro,CE,4553,2025-07-24 17:55:54.935938
2024,Julho,CE,7812,2025-07-24 17:55:54.935938
2024,Junho,CE,8223,2025-07-24 17:55:54.935938
2024,Maio,CE,5892,2025-07-24 17:55:54.935938
2024,Marco,CE,1869,2025-07-24 17:55:54.935938
2024,Novembro,CE,5204,2025-07-24 17:55:54.935938
2024,Outubro,CE,5573,2025-07-24 17:55:54.935938
2024,Setembro,CE,8184,2025-07-24 17:55:54.935938
2024,Abril,DF,1666,2025-07-24 17:55:54.935938
2024,Agosto,DF,4080,2025-07-24 17:55:54.935938
2024,Dezembro,DF,4195,2025-07-24 17:55:54.935938
2024,Fevereiro,DF,2757,2025-07-24 17:55:54.935938
2024,Janeiro,DF,3396,2025-07-24 17:55:54.935938
2024,Julho,DF,6667,2025-07-24 17:55:54.935938
2024,Junho,DF,7083,2025-07-24 17:55:54.935938
2024,Maio,DF,4744,2025-07-24 17:55:54.935938
